customer_id;customer_name;customer_type;contact_person;phone;city
CUS096;PD Samosir Mandasari (Persero) Tbk;Cafe;Warsa Wijaya;873395004;Bandung
CUS097;Perum Yolanda Wulandari Tbk;Coffee Shop;Paulin Anggriawan;80624565060;Tangerang
CUS098;UD Puspasari Suwarno;Coffee Shop;Harsana Mayasari;8499121655;Yogyakarta
CUS099;CV Napitupulu Tbk;Cafe;Dt. Arsipatra Firgantoro;82578729825;Bekasi
CUS100;CV Wijaya Tbk;Office;dr. Ophelia Melani;8879470551;Semarang
CUS102;CV Budiyanto;Cafe;Iriana Andriani;82636897028;Malang
CUS103;Perum Simbolon Wijayanti;Retail;Paramita Waluyo;82785854973;Semarang
CUS104;UD Puspita Salahudin;Cafe;Wardaya Salahudin;83757584419;Semarang
CUS105;PD Situmorang Maulana Tbk;Bakery;Edward Hutapea;87473384842;Depok
CUS106;Perum Rahmawati;Coffee Shop;Dimaz Hardiansyah;833016571;Bandung
CUS107;PT Pudjiastuti Manullang;Office;Safina Kusmawati;83454019380;Surabaya
CUS108;PD Nugroho Firgantoro;Restaurant;drg. Winda Lailasari, S.E.;80049915478;Surabaya
CUS109;CV Mayasari Hastuti Tbk;Bakery;Rusman Kusumo;82742054932;Semarang
CUS110;PD Mulyani Simbolon (Persero) Tbk;Office;Salsabila Kuswoyo;82275304637;Jakarta
CUS112;Perum Prasetya (Persero) Tbk;Coffee Shop;Jati Mangunsong;89568783391;Surabaya
CUS113;Perum Tarihoran Hutagalung (Persero) Tbk;Office;Radit Pudjiastuti;839822587;Tangerang
CUS114;CV Padmasari;Coffee Shop;Cornelia Melani;80728679087;Depok
CUS115;PT Widodo Tbk;Cafe;Cut Uli Pratama, M.Farm;80065180170;Depok
CUS116;PD Najmudin (Persero) Tbk;Retail;Ir. Omar Yuliarti, S.Farm;86766182512;Semarang
CUS117;Perum Mahendra Prasetyo (Persero) Tbk;Cafe;Dt. Emin Hariyah, M.Pd;863375243;Surabaya
CUS119;PD Pradipta Namaga (Persero) Tbk;Bakery;KH. Asman Mandala, M.TI.;83959953428;Depok
CUS120;PD Salahudin Saefullah;Coffee Shop;Kalim Rahayu;82687056856;Semarang
CUS121;CV Salahudin Waluyo (Persero) Tbk;Retail;Dr. Jasmani Permadi, S.H.;82708668826;Bandung
CUS122;UD Putra Sitompul;Coffee Shop;Bahuwirya Hartati, S.I.Kom;80830469901;Yogyakarta
CUS123;Perum Winarsih Purwanti;Coffee Shop;Jatmiko Pranowo;84033173936;Bandung
CUS124;Perum Sinaga Suryono;Cafe;Nadia Nasyidah;84458771753;Bogor
CUS126;PD Purnawati Prasasta;Bakery;Pia Yolanda;84777252287;Depok
CUS128;UD Halim Safitri Tbk;Cafe;Jinawi Budiyanto, S.Ked;8886008484;Surabaya
CUS129;Perum Wulandari;Coffee Shop;Yani Nugroho;80182339845;Surabaya
CUS131;PT Narpati;Restaurant;Jamil Fujiati;89180339740;Surabaya
CUS132;UD Palastri;Office;Hj. Ami Nugroho;80392614293;Yogyakarta
CUS133;Perum Sitompul Winarno (Persero) Tbk;Office;H. Nyoman Hutapea, M.TI.;80163159996;Semarang
CUS134;PT Usada Tbk;Cafe;drg. Joko Pradana, S.I.Kom;8866296194;Depok
CUS135;PT Hutasoit Santoso;Restaurant;Harjasa Usada;82655110475;Depok
CUS136;PT Mustofa (Persero) Tbk;Coffee Shop;Irfan Hassanah;8888610158;Malang
CUS137;Perum Rahimah;Office;Tgk. Saka Winarno, S.Ked;86618398262;Yogyakarta
CUS138;UD Sihombing Santoso;Coffee Shop;Dalima Haryanto;82646471543;Tangerang
CUS140;UD Sinaga Suartini;Retail;Farah Kuswandari, S.Psi;82654793564;Semarang
CUS141;UD Latupono Pratiwi (Persero) Tbk;Retail;Drs. Elvina Zulaika;8807374167;Yogyakarta
CUS142;UD Permadi Ramadan;Cafe;Candra Anggraini, S.Sos;80797968868;Jakarta
CUS145;UD Agustina;Retail;Bambang Megantara;84573875717;Bandung
CUS146;UD Hidayat Salahudin (Persero) Tbk;Office;H. Balijan Damanik, S.Psi;80238282586;Depok
CUS147;CV Waskita Usamah (Persero) Tbk;Bakery;Manah Wahyuni;80609379660;Bandung
CUS148;CV Setiawan Haryanto;Retail;Puti Wirda Nasyiah;82553714785;Depok
CUS149;Perum Wijaya Rahmawati (Persero) Tbk;Retail;Kamila Haryanti;82499125134;Malang
CUS150;CV Wahyudin;Coffee Shop;Dinda Melani, S.Sos;80929662782;Malang
