product_id;product_name;category_id;supplier_id;buy_price;sell_price;min_stock;initial_stock;current_stock
PRD056;Nemo Product;CAT010;SUP017;62377;136723;26;181;181
PRD057;Vitae Product;CAT002;SUP010;52696;86187;22;309;309
PRD058;Porro Product;CAT002;SUP002;49350;94308;35;271;271
PRD059;Nesciunt Product;CAT009;SUP018;13639;21777;31;297;297
PRD060;Voluptatum Product;CAT004;SUP028;42243;64496;31;176;176
PRD061;Numquam Product;CAT009;SUP022;48694;66873;14;279;279
PRD062;Porro Product;CAT005;SUP023;45662;99128;31;300;300
PRD063;Doloremque Product;CAT003;SUP003;21901;40200;19;386;386
PRD064;Blanditiis Product;CAT006;SUP011;54372;102172;36;165;165
PRD065;Recusandae Product;CAT002;SUP022;73995;102417;23;360;360
PRD066;Aliquam Product;CAT004;SUP010;52425;69012;15;209;209
PRD067;Est Product;CAT006;SUP016;49791;107195;16;215;215
PRD068;Illum Product;CAT005;SUP010;23030;33150;37;151;151
PRD069;Aliquid Product;CAT003;SUP027;71543;142641;33;369;369
PRD070;Harum Product;CAT008;SUP029;9947;18856;34;167;167
PRD071;Et Product;CAT009;SUP006;54377;78239;36;184;184
PRD072;Quidem Product;CAT005;SUP012;62366;83528;31;221;221
PRD073;Illo Product;CAT010;SUP025;63222;116931;33;329;329
PRD074;Dolores Product;CAT009;SUP010;35671;63516;40;340;340
PRD075;Officia Product;CAT001;SUP019;30430;49633;24;336;336
PRD076;Recusandae Product;CAT009;SUP017;41932;83877;26;314;314
PRD077;Possimus Product;CAT005;SUP026;26241;53405;29;170;170
PRD078;Quo Product;CAT002;SUP016;37768;50872;37;290;290
PRD079;Quaerat Product;CAT003;SUP023;77684;166310;37;364;364
PRD080;Culpa Product;CAT005;SUP025;21341;33218;15;239;239
PRD081;Rem Product;CAT002;SUP005;63893;135119;36;323;323
PRD082;Cum Product;CAT002;SUP008;17021;36625;36;330;330
PRD083;Fugiat Product;CAT009;SUP014;50820;108623;11;302;302
PRD084;Quisquam Product;CAT003;SUP013;70799;115867;12;291;291
PRD085;Maiores Product;CAT005;SUP030;34430;45632;13;271;271
PRD086;Quis Product;CAT005;SUP010;24142;34374;39;341;341
PRD087;Animi Product;CAT010;SUP016;23191;45986;24;102;102
PRD088;Nulla Product;CAT004;SUP007;15384;20262;36;176;176
PRD089;Quisquam Product;CAT006;SUP020;76932;165111;26;316;316
PRD090;Esse Product;CAT004;SUP008;19573;39117;19;162;162
PRD091;Nisi Product;CAT005;SUP021;11258;17051;35;334;334
PRD092;Corporis Product;CAT009;SUP029;13232;18521;25;374;374
PRD093;Ullam Product;CAT008;SUP019;7154;13369;17;173;173
PRD094;Expedita Product;CAT005;SUP020;43177;72810;21;223;223
PRD095;In Product;CAT001;SUP022;79798;133654;31;143;143
PRD096;Aliquid Product;CAT002;SUP003;73614;160271;40;369;369
PRD097;Odio Product;CAT007;SUP017;76313;134051;27;110;110
PRD098;Fuga Product;CAT005;SUP002;56177;117185;30;298;298
PRD099;Laudantium Product;CAT001;SUP001;53929;82418;21;134;134
PRD100;Commodi Product;CAT001;SUP022;50193;76143;30;153;153
