purchase_id,purchase_date,supplier_id,product_id,quantity,unit_cost,total_cost
PUR-202506-0119,2025-06-21,SUP002,PRD004,20,70000,1400000
PUR-202506-0120,2025-06-22,SUP002,PRD006,50,75000,3750000
PUR-202506-0121,2025-06-26,SUP005,PRD011,50,22000,1100000
PUR-202506-0122,2025-06-27,SUP004,PRD009,40,35000,1400000
PUR-202506-0123,2025-06-29,SUP002,PRD004,30,70000,2100000
PUR-202506-0124,2025-06-30,SUP001,PRD001,100,120000,12000000
PUR-202507-0125,2025-07-01,SUP002,PRD003,20,85000,1700000
PUR-202507-0126,2025-07-02,SUP001,PRD002,50,45000,2250000
PUR-202507-0127,2025-07-04,SUP004,PRD009,100,35000,3500000
PUR-202507-0128,2025-07-04,SUP005,PRD012,50,32000,1600000
PUR-202507-0129,2025-07-09,SUP002,PRD003,40,85000,3400000
PUR-202507-0130,2025-07-09,SUP002,PRD004,100,70000,7000000
PUR-202507-0131,2025-07-12,SUP005,PRD011,50,22000,1100000
PUR-202507-0132,2025-07-13,SUP002,PRD006,20,75000,1500000
PUR-202507-0133,2025-07-14,SUP002,PRD003,40,85000,3400000
PUR-202507-0134,2025-07-16,SUP001,PRD001,20,120000,2400000
PUR-202507-0135,2025-07-17,SUP003,PRD007,20,180000,3600000
PUR-202507-0136,2025-07-18,SUP001,PRD001,100,120000,12000000
PUR-202507-0137,2025-07-18,SUP001,PRD002,30,45000,1350000
PUR-202507-0138,2025-07-18,SUP003,PRD008,50,28000,1400000
PUR-202507-0139,2025-07-19,SUP001,PRD001,20,120000,2400000
PUR-202507-0140,2025-07-21,SUP002,PRD004,50,70000,3500000
PUR-202507-0141,2025-07-22,SUP002,PRD005,100,70000,7000000
PUR-202507-0142,2025-07-22,SUP002,PRD006,100,75000,7500000
PUR-202507-0143,2025-07-23,SUP005,PRD011,30,22000,660000
PUR-202507-0144,2025-07-23,SUP005,PRD012,20,32000,640000
PUR-202507-0145,2025-07-24,SUP002,PRD005,40,70000,2800000
PUR-202507-0146,2025-07-25,SUP002,PRD003,40,85000,3400000
PUR-202507-0147,2025-07-26,SUP002,PRD003,40,85000,3400000
PUR-202507-0148,2025-07-29,SUP004,PRD009,100,35000,3500000
PUR-202507-0149,2025-07-30,SUP004,PRD010,20,12000,240000
PUR-202507-0150,2025-07-31,SUP001,PRD001,80,120000,9600000
PUR-202508-0151,2025-08-05,SUP004,PRD009,100,35000,3500000
PUR-202508-0152,2025-08-06,SUP002,PRD006,100,75000,7500000
PUR-202508-0153,2025-08-07,SUP003,PRD007,100,180000,18000000
PUR-202508-0154,2025-08-07,SUP003,PRD008,20,28000,560000
PUR-202508-0155,2025-08-07,SUP005,PRD011,50,22000,1100000
PUR-202508-0156,2025-08-09,SUP005,PRD012,80,32000,2560000
PUR-202508-0157,2025-08-16,SUP001,PRD002,40,45000,1800000
PUR-202508-0158,2025-08-19,SUP002,PRD004,40,70000,2800000
PUR-202508-0159,2025-08-21,SUP003,PRD008,100,28000,2800000
PUR-202508-0160,2025-08-25,SUP001,PRD002,30,45000,1350000
PUR-202508-0161,2025-08-25,SUP005,PRD011,40,22000,880000
PUR-202508-0162,2025-08-26,SUP005,PRD012,20,32000,640000
PUR-202508-0163,2025-08-28,SUP001,PRD001,80,120000,9600000
PUR-202508-0164,2025-08-28,SUP002,PRD004,30,70000,2100000
PUR-202508-0165,2025-08-30,SUP004,PRD010,40,12000,480000
PUR-202508-0166,2025-08-30,SUP005,PRD011,50,22000,1100000
PUR-202509-0167,2025-09-01,SUP001,PRD002,20,45000,900000
PUR-202509-0168,2025-09-03,SUP004,PRD010,40,12000,480000
PUR-202509-0169,2025-09-04,SUP005,PRD012,40,32000,1280000
PUR-202509-0170,2025-09-06,SUP002,PRD005,20,70000,1400000
PUR-202509-0171,2025-09-11,SUP001,PRD002,100,45000,4500000
PUR-202509-0172,2025-09-14,SUP004,PRD010,40,12000,480000
PUR-202509-0173,2025-09-15,SUP002,PRD003,20,85000,1700000
PUR-202509-0174,2025-09-15,SUP003,PRD007,50,180000,9000000
PUR-202509-0175,2025-09-18,SUP002,PRD004,40,70000,2800000
PUR-202509-0176,2025-09-18,SUP003,PRD008,20,28000,560000
PUR-202509-0177,2025-09-19,SUP001,PRD001,40,120000,4800000
PUR-202509-0178,2025-09-21,SUP005,PRD012,20,32000,640000
PUR-202509-0179,2025-09-23,SUP002,PRD003,20,85000,1700000
PUR-202509-0180,2025-09-23,SUP002,PRD005,20,70000,1400000
PUR-202509-0181,2025-09-27,SUP003,PRD007,100,180000,18000000
PUR-202509-0182,2025-09-28,SUP001,PRD002,40,45000,1800000
PUR-202509-0183,2025-09-28,SUP002,PRD006,50,75000,3750000
PUR-202510-0184,2025-10-03,SUP004,PRD010,40,12000,480000
PUR-202510-0185,2025-10-03,SUP005,PRD011,100,22000,2200000
PUR-202510-0186,2025-10-04,SUP003,PRD007,100,180000,18000000
PUR-202510-0187,2025-10-04,SUP003,PRD008,100,28000,2800000
PUR-202510-0188,2025-10-09,SUP002,PRD006,30,75000,2250000
PUR-202510-0189,2025-10-13,SUP002,PRD003,30,85000,2550000
PUR-202510-0190,2025-10-14,SUP002,PRD003,80,85000,6800000
PUR-202510-0191,2025-10-16,SUP002,PRD006,80,75000,6000000
PUR-202510-0192,2025-10-17,SUP004,PRD010,50,12000,600000
PUR-202510-0193,2025-10-20,SUP002,PRD005,30,70000,2100000
PUR-202510-0194,2025-10-24,SUP002,PRD006,50,75000,3750000
PUR-202510-0195,2025-10-25,SUP003,PRD007,20,180000,3600000
PUR-202510-0196,2025-10-27,SUP001,PRD001,80,120000,9600000
PUR-202510-0197,2025-10-27,SUP005,PRD012,100,32000,3200000
PUR-202510-0198,2025-10-28,SUP004,PRD009,50,35000,1750000
PUR-202510-0199,2025-10-29,SUP005,PRD011,50,22000,1100000
PUR-202510-0200,2025-10-30,SUP002,PRD005,100,70000,7000000
PUR-202511-0201,2025-11-07,SUP004,PRD010,30,12000,360000
PUR-202511-0202,2025-11-10,SUP004,PRD010,40,12000,480000
PUR-202511-0203,2025-11-12,SUP002,PRD005,20,70000,1400000
PUR-202511-0204,2025-11-14,SUP003,PRD008,50,28000,1400000
PUR-202511-0205,2025-11-15,SUP003,PRD008,30,28000,840000
PUR-202511-0206,2025-11-16,SUP003,PRD007,20,180000,3600000
PUR-202511-0207,2025-11-18,SUP002,PRD003,30,85000,2550000
PUR-202511-0208,2025-11-20,SUP003,PRD008,80,28000,2240000
PUR-202511-0209,2025-11-21,SUP002,PRD005,80,70000,5600000
PUR-202511-0210,2025-11-22,SUP002,PRD003,20,85000,1700000
PUR-202511-0211,2025-11-23,SUP002,PRD006,30,75000,2250000
PUR-202511-0212,2025-11-23,SUP005,PRD011,30,22000,660000
PUR-202511-0213,2025-11-25,SUP002,PRD005,50,70000,3500000
PUR-202511-0214,2025-11-28,SUP004,PRD010,40,12000,480000
PUR-202511-0215,2025-11-30,SUP004,PRD009,30,35000,1050000
PUR-202512-0216,2025-12-02,SUP005,PRD012,20,32000,640000
PUR-202512-0217,2025-12-04,SUP005,PRD011,30,22000,660000
PUR-202512-0218,2025-12-05,SUP001,PRD002,30,45000,1350000
PUR-202512-0219,2025-12-06,SUP003,PRD007,20,180000,3600000
PUR-202512-0220,2025-12-07,SUP002,PRD004,50,70000,3500000
PUR-202512-0221,2025-12-11,SUP004,PRD009,80,35000,2800000
PUR-202512-0222,2025-12-12,SUP005,PRD012,40,32000,1280000
PUR-202512-0223,2025-12-14,SUP004,PRD010,80,12000,960000
PUR-202512-0224,2025-12-14,SUP005,PRD011,40,22000,880000
PUR-202512-0225,2025-12-17,SUP005,PRD012,30,32000,960000
PUR-202512-0226,2025-12-22,SUP002,PRD006,20,75000,1500000
PUR-202512-0227,2025-12-24,SUP001,PRD002,50,45000,2250000
PUR-202512-0228,2025-12-24,SUP004,PRD010,80,12000,960000
PUR-202512-0229,2025-12-27,SUP004,PRD009,30,35000,1050000
PUR-202601-0230,2026-01-01,SUP005,PRD011,100,22000,2200000
PUR-202601-0231,2026-01-03,SUP005,PRD012,80,32000,2560000
PUR-202601-0232,2026-01-07,SUP002,PRD004,20,70000,1400000
PUR-202601-0233,2026-01-10,SUP002,PRD003,100,85000,8500000
PUR-202601-0234,2026-01-12,SUP003,PRD008,80,28000,2240000
PUR-202601-0235,2026-01-13,SUP002,PRD004,40,70000,2800000
PUR-202601-0236,2026-01-13,SUP002,PRD005,20,70000,1400000
PUR-202601-0237,2026-01-14,SUP005,PRD011,50,22000,1100000
PUR-202601-0238,2026-01-15,SUP002,PRD005,30,70000,2100000
PUR-202601-0239,2026-01-18,SUP001,PRD002,20,45000,900000
PUR-202601-0240,2026-01-21,SUP004,PRD010,80,12000,960000
PUR-202601-0241,2026-01-25,SUP001,PRD001,20,120000,2400000
PUR-202601-0242,2026-01-25,SUP001,PRD002,50,45000,2250000
PUR-202601-0243,2026-01-25,SUP003,PRD007,20,180000,3600000
PUR-202601-0244,2026-01-25,SUP003,PRD008,80,28000,2240000
PUR-202601-0245,2026-01-27,SUP002,PRD006,30,75000,2250000
PUR-202601-0246,2026-01-30,SUP002,PRD004,20,70000,1400000
PUR-202601-0247,2026-01-31,SUP004,PRD009,20,35000,700000
PUR-202602-0248,2026-02-01,SUP002,PRD003,20,85000,1700000
PUR-202602-0249,2026-02-01,SUP003,PRD007,40,180000,7200000
PUR-202602-0250,2026-02-02,SUP002,PRD004,20,70000,1400000
PUR-202602-0251,2026-02-03,SUP002,PRD005,100,70000,7000000
PUR-202602-0252,2026-02-04,SUP002,PRD006,50,75000,3750000
PUR-202602-0253,2026-02-04,SUP004,PRD009,40,35000,1400000
PUR-202602-0254,2026-02-05,SUP001,PRD002,40,45000,1800000
PUR-202602-0255,2026-02-09,SUP002,PRD003,20,85000,1700000
PUR-202602-0256,2026-02-09,SUP003,PRD007,30,180000,5400000
PUR-202602-0257,2026-02-11,SUP001,PRD002,80,45000,3600000
PUR-202602-0258,2026-02-11,SUP002,PRD004,30,70000,2100000
PUR-202602-0259,2026-02-12,SUP004,PRD009,50,35000,1750000
PUR-202602-0260,2026-02-12,SUP005,PRD012,30,32000,960000
PUR-202602-0261,2026-02-14,SUP001,PRD001,100,120000,12000000
PUR-202602-0262,2026-02-15,SUP005,PRD012,20,32000,640000
PUR-202602-0263,2026-02-16,SUP001,PRD001,30,120000,3600000
PUR-202602-0264,2026-02-17,SUP002,PRD003,30,85000,2550000
PUR-202602-0265,2026-02-21,SUP005,PRD012,30,32000,960000
PUR-202602-0266,2026-02-22,SUP002,PRD005,50,70000,3500000
PUR-202602-0267,2026-02-26,SUP002,PRD003,20,85000,1700000
PUR-202602-0268,2026-02-27,SUP002,PRD004,100,70000,7000000
PUR-202603-0269,2026-03-03,SUP002,PRD003,100,85000,8500000
PUR-202603-0270,2026-03-03,SUP004,PRD010,100,12000,1200000
PUR-202603-0271,2026-03-04,SUP002,PRD006,80,75000,6000000
PUR-202603-0272,2026-03-07,SUP001,PRD002,20,45000,900000
PUR-202603-0273,2026-03-07,SUP004,PRD010,20,12000,240000
PUR-202603-0274,2026-03-08,SUP004,PRD009,50,35000,1750000
PUR-202603-0275,2026-03-10,SUP003,PRD007,40,180000,7200000
PUR-202603-0276,2026-03-10,SUP005,PRD012,20,32000,640000
PUR-202603-0277,2026-03-11,SUP001,PRD002,40,45000,1800000
PUR-202603-0278,2026-03-14,SUP003,PRD008,50,28000,1400000
PUR-202603-0279,2026-03-14,SUP005,PRD011,30,22000,660000
PUR-202603-0280,2026-03-16,SUP004,PRD010,50,12000,600000
PUR-202603-0281,2026-03-19,SUP001,PRD001,40,120000,4800000
PUR-202603-0282,2026-03-22,SUP003,PRD007,100,180000,18000000
PUR-202603-0283,2026-03-23,SUP001,PRD001,100,120000,12000000
PUR-202603-0284,2026-03-23,SUP005,PRD011,40,22000,880000
PUR-202603-0285,2026-03-24,SUP005,PRD012,100,32000,3200000
PUR-202603-0286,2026-03-25,SUP005,PRD012,80,32000,2560000
PUR-202603-0287,2026-03-27,SUP004,PRD009,40,35000,1400000
PUR-202603-0288,2026-03-31,SUP002,PRD005,80,70000,5600000
PUR-202604-0289,2026-04-01,SUP002,PRD004,20,70000,1400000
PUR-202604-0290,2026-04-07,SUP002,PRD004,20,70000,1400000
PUR-202604-0291,2026-04-07,SUP005,PRD011,100,22000,2200000
PUR-202604-0292,2026-04-08,SUP002,PRD003,50,85000,4250000
PUR-202604-0293,2026-04-11,SUP002,PRD006,40,75000,3000000
PUR-202604-0294,2026-04-14,SUP003,PRD008,100,28000,2800000
PUR-202604-0295,2026-04-15,SUP004,PRD010,100,12000,1200000
PUR-202604-0296,2026-04-16,SUP004,PRD010,100,12000,1200000
PUR-202604-0297,2026-04-18,SUP002,PRD004,30,70000,2100000
PUR-202604-0298,2026-04-18,SUP004,PRD009,30,35000,1050000
PUR-202604-0299,2026-04-19,SUP002,PRD006,40,75000,3000000
PUR-202604-0300,2026-04-20,SUP005,PRD011,40,22000,880000
PUR-202604-0301,2026-04-20,SUP005,PRD012,80,32000,2560000
PUR-202604-0302,2026-04-21,SUP001,PRD002,80,45000,3600000
PUR-202604-0303,2026-04-26,SUP003,PRD007,80,180000,14400000
PUR-202604-0304,2026-04-29,SUP002,PRD004,40,70000,2800000
PUR-202605-0305,2026-05-01,SUP002,PRD003,100,85000,8500000
PUR-202605-0306,2026-05-02,SUP005,PRD011,30,22000,660000
PUR-202605-0307,2026-05-03,SUP002,PRD005,30,70000,2100000
PUR-202605-0308,2026-05-03,SUP004,PRD009,100,35000,3500000
PUR-202605-0309,2026-05-05,SUP004,PRD009,100,35000,3500000
PUR-202605-0310,2026-05-07,SUP002,PRD006,80,75000,6000000
PUR-202605-0311,2026-05-07,SUP003,PRD007,50,180000,9000000
PUR-202605-0312,2026-05-08,SUP003,PRD007,40,180000,7200000
PUR-202605-0313,2026-05-09,SUP002,PRD005,40,70000,2800000
PUR-202605-0314,2026-05-11,SUP001,PRD001,30,120000,3600000
PUR-202605-0315,2026-05-13,SUP004,PRD009,40,35000,1400000
PUR-202605-0316,2026-05-13,SUP005,PRD012,40,32000,1280000
PUR-202605-0317,2026-05-14,SUP004,PRD010,40,12000,480000
PUR-202605-0318,2026-05-15,SUP003,PRD008,100,28000,2800000
PUR-202605-0319,2026-05-18,SUP001,PRD001,20,120000,2400000
PUR-202605-0320,2026-05-18,SUP002,PRD006,100,75000,7500000
PUR-202605-0321,2026-05-19,SUP002,PRD004,30,70000,2100000
PUR-202605-0322,2026-05-23,SUP005,PRD011,20,22000,440000
PUR-202605-0323,2026-05-24,SUP001,PRD001,40,120000,4800000
PUR-202605-0324,2026-05-24,SUP004,PRD009,20,35000,700000
PUR-202605-0325,2026-05-25,SUP004,PRD009,30,35000,1050000
PUR-202605-0326,2026-05-26,SUP001,PRD002,40,45000,1800000
PUR-202605-0327,2026-05-29,SUP004,PRD009,20,35000,700000
PUR-202606-0328,2026-06-01,SUP005,PRD012,80,32000,2560000
PUR-202606-0329,2026-06-02,SUP002,PRD003,80,85000,6800000
PUR-202606-0330,2026-06-02,SUP002,PRD004,30,70000,2100000
PUR-202606-0331,2026-06-03,SUP003,PRD007,80,180000,14400000
PUR-202606-0332,2026-06-05,SUP005,PRD012,80,32000,2560000
PUR-202606-0333,2026-06-08,SUP004,PRD009,80,35000,2800000
PUR-202606-0334,2026-06-09,SUP002,PRD005,50,70000,3500000
PUR-202606-0335,2026-06-10,SUP002,PRD004,100,70000,7000000
PUR-202606-0336,2026-06-13,SUP001,PRD001,50,120000,6000000
PUR-202606-0337,2026-06-16,SUP001,PRD002,30,45000,1350000
PUR-202606-0338,2026-06-16,SUP002,PRD004,50,70000,3500000
PUR-202606-0339,2026-06-17,SUP002,PRD003,20,85000,1700000
PUR-202606-0340,2026-06-18,SUP004,PRD010,40,12000,480000
PUR-202606-0341,2026-06-20,SUP002,PRD006,20,75000,1500000
PUR-202606-0342,2026-06-21,SUP005,PRD011,80,22000,1760000
PUR-202606-0343,2026-06-23,SUP003,PRD008,50,28000,1400000
PUR-202606-0344,2026-06-25,SUP002,PRD005,30,70000,2100000
PUR-202606-0345,2026-06-25,SUP004,PRD009,30,35000,1050000
PUR-202606-0346,2026-06-27,SUP004,PRD010,30,12000,360000
PUR-202606-0347,2026-06-27,SUP005,PRD012,50,32000,1600000
PUR-202606-0348,2026-06-29,SUP002,PRD004,30,70000,2100000
